email,project,team #
7b6fec905ef1c1dab10c21c15243a670,d544872a7a31ad80d4ec06d2ab3c106b,D
b2c6de510d584484d74c9aa9f8fa9f04,5ce679da3f7693e797ab5fc5b5fb5ccd,A
052d26da0511326a0556c5f49dae9b39,1ed3ddcaa6fab66fdd8673d0de207c3c,E
91cb394fed4f667f20f56d198cd6190d,5ce679da3f7693e797ab5fc5b5fb5ccd,F
09a5425422227aaccb851607094b1292,9c7028fd2f6e7005972bf543a45b2e06,E
042f42bf0ce9ae06d083c525e96ea044,d544872a7a31ad80d4ec06d2ab3c106b,C
43548637b76aea81e3e5f26887eaa92d,d580f6fedb5a7e8e112798ba7215c376,A
5dca9d7879d5ef2f32c38438f16d02c5,a1ef38fb26b1b81ea66f46b5dc3e10c7,F
3975c0a28fccb65f3363eb048114f188,1ed3ddcaa6fab66fdd8673d0de207c3c,D
c6cdb00f3ae8098dc9178819d7c9a569,1ed3ddcaa6fab66fdd8673d0de207c3c,D
719eb21413f653f9b960b4059f5a70be,d580f6fedb5a7e8e112798ba7215c376,F
37555ae77342b8a3099e826546f6584b,1ed3ddcaa6fab66fdd8673d0de207c3c,E
c5a8d96db675498dcb222c1bc82c18cc,5ce679da3f7693e797ab5fc5b5fb5ccd,F
17fa5cebe1d30263212c7afaea512c24,d8576d770bc1e39ea2fec0dfef9c88a9,B
2c94fdff21b0cbd492614031e74c1375,d8576d770bc1e39ea2fec0dfef9c88a9,A
bd616bf4b8415f03f4a89c09e110e46b,d580f6fedb5a7e8e112798ba7215c376,A
9769222337c9a9b0aa4d946866a9c982,aed5a51831f1e9b3ea1d17ba844d32cd,A
3ec9d2740b82457728fa71f83cbc8244,aed5a51831f1e9b3ea1d17ba844d32cd,F
33e1ba8d19f43e84b502bad3528f6d9a,5ce679da3f7693e797ab5fc5b5fb5ccd,D
f1783cac86ca53071839053ec6134ef5,d8576d770bc1e39ea2fec0dfef9c88a9,D
dcc261331e2d1a1eeade6a1719903189,5ce679da3f7693e797ab5fc5b5fb5ccd,A
a29f326465ad158d5f62cb8a5d2a256d,a1ef38fb26b1b81ea66f46b5dc3e10c7,D
229883950389ba10cd3d65b5d73ce5a1,5ce679da3f7693e797ab5fc5b5fb5ccd,B
c2065868d12004d4d9fccdf64d5393a2,d8576d770bc1e39ea2fec0dfef9c88a9,C
0784938411ee1af154e09e087488c168,5ce679da3f7693e797ab5fc5b5fb5ccd,D
0c39fc6592e5dc3daf56704ccd8a37e7,aed5a51831f1e9b3ea1d17ba844d32cd,E
1578408f28ab821341bfb6272c098881,aed5a51831f1e9b3ea1d17ba844d32cd,B
b5b83e7c9c977ae3437224344d03bcf4,d580f6fedb5a7e8e112798ba7215c376,C
779562ecdf573e0489bf4b076f5de07c,9c7028fd2f6e7005972bf543a45b2e06,D
6c2624b831c3f323842797d4d7caa570,aed5a51831f1e9b3ea1d17ba844d32cd,B
5b91a39b02c9695f68153407c2114ce2,aed5a51831f1e9b3ea1d17ba844d32cd,F
aee33fc10dc8ccc7894c5e44bc2dfa86,aed5a51831f1e9b3ea1d17ba844d32cd,A
2d17c2e27220caa59e827ecdb114a65c,aed5a51831f1e9b3ea1d17ba844d32cd,C
ab750af68d95cbe5b0ce941ac6c68234,d580f6fedb5a7e8e112798ba7215c376,E
c34bf10b7a2f6548217c0f73faf3e48e,1ed3ddcaa6fab66fdd8673d0de207c3c,C
55e5a80e8dc13a03292cedca65b96f83,1ed3ddcaa6fab66fdd8673d0de207c3c,F
640e1d52d513f6bfce3763ead03e6b38,d580f6fedb5a7e8e112798ba7215c376,C
f523677f6b221abac7df6ae1cd721fb7,5ce679da3f7693e797ab5fc5b5fb5ccd,B
3c639f233741b1286f3c19025b50b239,aed5a51831f1e9b3ea1d17ba844d32cd,D
3526ce00d20161b6996e9c812e4f7a99,a1ef38fb26b1b81ea66f46b5dc3e10c7,F
7727fa4ce34371f104daec04b33e3e78,aed5a51831f1e9b3ea1d17ba844d32cd,B
5087ebc972ca1cd48cf5facdc96469df,d544872a7a31ad80d4ec06d2ab3c106b,C
d0606f0da5c54cea46f80f41251ae5f0,1ed3ddcaa6fab66fdd8673d0de207c3c,B
3acccbfe643f865e0d7a37c294b42631,5ce679da3f7693e797ab5fc5b5fb5ccd,C
d3a8e7fc5ae29397bd2d8605c1892a2b,aed5a51831f1e9b3ea1d17ba844d32cd,F
6abac36023350a56c387514266f146f3,aed5a51831f1e9b3ea1d17ba844d32cd,B
cd2121a8bc3c6a5a0897ee716c459082,5ce679da3f7693e797ab5fc5b5fb5ccd,B
04f66ff9f86274b1f8300b4533863a48,aed5a51831f1e9b3ea1d17ba844d32cd,D
48c421c4258123c2fd37afbf62cebf53,d580f6fedb5a7e8e112798ba7215c376,D
e29caadcc0214aeb4e0eb50ad51932ca,d544872a7a31ad80d4ec06d2ab3c106b,F
b32355b0f6e5375ea6cbd4fe26d50d70,d580f6fedb5a7e8e112798ba7215c376,D
f5651ba42e900a7afae603f451f8c4b3,d8576d770bc1e39ea2fec0dfef9c88a9,B
a6dfe640a33c371be23ea059810d9af1,d8576d770bc1e39ea2fec0dfef9c88a9,C
44334033cfd9bc35a40f7e2162e59227,d580f6fedb5a7e8e112798ba7215c376,C
87bfa6ee14e7a436d0f1b44320ccc739,5ce679da3f7693e797ab5fc5b5fb5ccd,D
b6c88ea5735556f0ac1a92797c8ba0f4,aed5a51831f1e9b3ea1d17ba844d32cd,A
44e0b1e842ee009864b97cef3a6ba7c5,aed5a51831f1e9b3ea1d17ba844d32cd,E
222c7e5747edf57a387a4f0c5fc8fd56,1ed3ddcaa6fab66fdd8673d0de207c3c,B
dd506372f8a94d8d2854e475ae30dcd2,aed5a51831f1e9b3ea1d17ba844d32cd,E
ed468c29a0782cfb5707df0cde891871,d580f6fedb5a7e8e112798ba7215c376,D
0b069084da1ca195bc84bfaa6c15885e,d580f6fedb5a7e8e112798ba7215c376,D
1cc4792ecb21bdda388be6ad074e8629,d544872a7a31ad80d4ec06d2ab3c106b,D
af4136f1a4119156936603c088d8ddad,aed5a51831f1e9b3ea1d17ba844d32cd,B
43f1ffbc604d6adcfddf3159ba4a1adb,d8576d770bc1e39ea2fec0dfef9c88a9,D
66ad25e901db0cf046a1cd3be50d07c1,d544872a7a31ad80d4ec06d2ab3c106b,F
f88e738cd2c184f079e0bb4539f91f85,d580f6fedb5a7e8e112798ba7215c376,C
e4f0e96431283bed150e1e4588c14048,1ed3ddcaa6fab66fdd8673d0de207c3c,C
e37183209d98ec8a5d9e25932114b52f,1ed3ddcaa6fab66fdd8673d0de207c3c,F
5929cad01b57fbf7017fdcb8e48a70ea,d8576d770bc1e39ea2fec0dfef9c88a9,F
e56dbe701ed84d2dc99719e275ead029,a1ef38fb26b1b81ea66f46b5dc3e10c7,E
2f81162a49f46ea20ba33a7c1b924ee5,aed5a51831f1e9b3ea1d17ba844d32cd,F
8b62abd011ba1dcceecd41f5175a53e4,1ed3ddcaa6fab66fdd8673d0de207c3c,A
44d2b21d06e2267a64f27e461bcb1d04,d8576d770bc1e39ea2fec0dfef9c88a9,A
851e7ff2e14b9b4b6163734cc91e65a4,d544872a7a31ad80d4ec06d2ab3c106b,F
b7bba94e2a117b9cfb4463088cd77334,a1ef38fb26b1b81ea66f46b5dc3e10c7,D
555cbbb7260cce5e835177937c3b6746,5ce679da3f7693e797ab5fc5b5fb5ccd,F
4924f8b0e5c7afbaeabf417e23770667,5ce679da3f7693e797ab5fc5b5fb5ccd,F
7afac4678e7bc51739847ac8cab153a1,d8576d770bc1e39ea2fec0dfef9c88a9,C
95798b5a8d20fe91f2040fc5dfee2e8c,d8576d770bc1e39ea2fec0dfef9c88a9,E
9b58f86366fbf77b95d27371240e1015,d544872a7a31ad80d4ec06d2ab3c106b,C
5792b5f24239f136bf63c62f21a9176b,d544872a7a31ad80d4ec06d2ab3c106b,C
57ca736ec14fddb471898fbc20cc8b4b,d8576d770bc1e39ea2fec0dfef9c88a9,A
bc3870e0531fe3c1fc6b1b88fed6ff49,d8576d770bc1e39ea2fec0dfef9c88a9,D
264e76884f7ff05303c5c4aeb3760467,d8576d770bc1e39ea2fec0dfef9c88a9,D
3f5d8d79783a8dbc7816fe078885b6c6,9c7028fd2f6e7005972bf543a45b2e06,E
6eb4d89943d2de2b6a5e4d4b083ea56a,d8576d770bc1e39ea2fec0dfef9c88a9,F
23461f9739d0e6a2a2739487a036bdac,9c7028fd2f6e7005972bf543a45b2e06,B
5a9d55420c60a74eaac88d434bb7a730,a1ef38fb26b1b81ea66f46b5dc3e10c7,F
efdc7820b6fa463c8ae43cffbe5219a2,aed5a51831f1e9b3ea1d17ba844d32cd,C
a7cbb112bec0c14b37dd857cd89eb1f9,1ed3ddcaa6fab66fdd8673d0de207c3c,E
01c8f011d3189c9618393b7339d147ba,5ce679da3f7693e797ab5fc5b5fb5ccd,C
c09bc020ea4d12862e684150a0c47030,d8576d770bc1e39ea2fec0dfef9c88a9,B
e1a963c80adfd1a9fa19e0405da8a641,d580f6fedb5a7e8e112798ba7215c376,E
971540106ec1abdefc8c41b65a43f717,d8576d770bc1e39ea2fec0dfef9c88a9,D
d203ecd04c59b60a6557527334279a5b,5ce679da3f7693e797ab5fc5b5fb5ccd,C
6487f5a51dcb53edb4ac5995c1d09f84,1ed3ddcaa6fab66fdd8673d0de207c3c,D
3f5dee48a70afdae6f6efaa67988e0c6,d8576d770bc1e39ea2fec0dfef9c88a9,E
f10bb10e8a7bb351b8e5adbf0926603b,d8576d770bc1e39ea2fec0dfef9c88a9,F
91da0d8c21984731e100b98cd95e782d,d544872a7a31ad80d4ec06d2ab3c106b,F
1974881b8b7d008da5943beb5128a66b,d8576d770bc1e39ea2fec0dfef9c88a9,C
39b69222eaebdf1b8b712dc3f3b15b16,d8576d770bc1e39ea2fec0dfef9c88a9,C
0aafc26cb27eb7d310c2e3809b4caae7,d8576d770bc1e39ea2fec0dfef9c88a9,F
86af6f283d9cef284e441dd074366f4f,d8576d770bc1e39ea2fec0dfef9c88a9,E
2d6a5de78acbe96177320328cf2693b6,a1ef38fb26b1b81ea66f46b5dc3e10c7,D
7ed984753cd00756f0796f08d2203f12,a1ef38fb26b1b81ea66f46b5dc3e10c7,E
1d9eff09e4d1b560c8467538fc077640,d8576d770bc1e39ea2fec0dfef9c88a9,A
9ccb1da50a566cf6ae3f8ec8ee36f2bd,a1ef38fb26b1b81ea66f46b5dc3e10c7,E
21f1bee24563ac36857f362c1ad924bb,1ed3ddcaa6fab66fdd8673d0de207c3c,F
464a734f9526bcf31324310cdace2883,1ed3ddcaa6fab66fdd8673d0de207c3c,D
bf1bd74441c65164574093afbbfef6c3,5ce679da3f7693e797ab5fc5b5fb5ccd,A
070dd61b277baa53d3e5f34ef59577bd,a1ef38fb26b1b81ea66f46b5dc3e10c7,E
a09595d5ba5d49a4262d9abd57dfc52d,d580f6fedb5a7e8e112798ba7215c376,B
88c20051023b43d35fa08994fe451a97,d580f6fedb5a7e8e112798ba7215c376,F
c31a771fb300ec9f4dc317b8588fb962,d580f6fedb5a7e8e112798ba7215c376,F
d5005166c0b9c54e0a9a47665f5bfdde,d8576d770bc1e39ea2fec0dfef9c88a9,E
